NO_SEQ_COLL,JR_SEMN_ACCDN,DT_ACCDN,CD_MUNCP,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,BORNE_KM_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NB_METRE_DIST_ACCD,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,NO_ROUTE,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_PNT_CDRNL_ROUTE,CD_PNT_CDRNL_REPRR,CD_COND_METEO,NB_VEH_IMPLIQUES_ACCDN,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,HEURE_ACCDN,AN,NB_VICTIMES_TOTAL,GRAVITE,REG_ADM,MRC,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VHR,nb_autres_types,nb_veh_non_precise,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,VITESSE_AUTOR,LOC_X,LOC_Y,LOC_COTE_QD,LOC_COTE_PD,LOC_DETACHEE,LOC_IMPRECISION,LOC_LAT,LOC_LONG
SPVM _ 2018 _ 18306,ME,2018/03/21,66023.0,,,,ST ZOTIQUE E,,JEANNE JUGAN,10.0,31.0,,11.0,1.0,2.0,,13.0,,11.0,33.0,,2.0,,,E,11.0,2,0,0,0,15:00:00-15:59:00,2018,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,299303.96,5048819.158,A,1,N,O,45.57926,-73.57043
SPVM _ 2012 _ 14494,DI,2012/11/04,66023.0,3130.0,,,STE CATHERINE O,1.0,MOREAU,20.0,31.0,,11.0,1.0,2.0,,14.0,,11.0,33.0,,2.0,,,E,11.0,3,0,0,0,08:00:00-08:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,301526.1425,5044243.592,A,1,N,N,45.5381,-73.54192
SPVM _ 2016 _ 2019,ME,2016/06/08,66023.0,,,,DECARIE,1.0,DU COLLEGE,,31.0,,11.0,1.0,3.0,,13.0,,11.0,33.0,,3.0,,,,12.0,2,0,0,0,17:00:00-17:59:00,2016,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,291117.5,5041066.958,A,1,N,N,45.50939,-73.67511
SPVM _ 2012 _ 4332,ME,2012/06/13,66023.0,2493.0,,,SHERBROOKE,2.0,FACE,15.0,31.0,,11.0,,2.0,,14.0,,13.0,33.0,,2.0,,,E,11.0,2,0,0,0,13:00:00-13:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.0,290206.563,5033892.0,A,1,N,N,45.44481,-73.68655
SPVM _ 2019 _ 14573,LU,2019/02/11,66023.0,5220.0,,,DE CASTILLE,2.0,EN FACE,,31.0,,17.0,1.0,7.0,,14.0,,11.0,34.0,,2.0,,,,12.0,2,0,0,0,16:00:00-16:59:00,2019,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,295251.56035,5050989.2217,A,1,N,N,45.59874,-73.62239
SPVM _ 2012 _ 11750,LU,2012/12/03,66023.0,,,,STE CATHERINE,1.0,DRUMMOND,,31.0,1.0,11.0,3.0,3.0,,13.0,,11.0,32.0,,1.0,,,,11.0,2,0,0,0,18:00:00-18:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,298995.14899,5039859.581,A,1,N,N,45.49863,-73.57428
SPVM _ 2017 _ 14021,VE,2017/08/18,66023.0,,,,CREMAZIE E BD,1.0,PAPINEAU AV,,31.0,,11.0,1.0,3.0,,11.0,1.0,11.0,32.0,6.0,1.0,,,,11.0,2,0,0,2,14:00:00-14:59:00,2017,2,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,295221.958,5046000.253,A,1,N,O,45.55385,-73.62268
SPVM _ 2019 _ 402,SA,2019/11/09,66023.0,11680.0,,,PIERREFONDS,,,,59.0,,11.0,1.0,3.0,,21.0,,11.0,99.0,,,,,,11.0,1,0,0,0,14:00:00-14:59:00,2019,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,279794.717,5040815.672,A,1,O,N,45.50681,-73.82
SPVM _ 2012 _ 1368,DI,2012/03/04,66097.0,,,,DES SOURCES,1.0,40 AUT,,31.0,,11.0,2.0,3.0,,13.0,,13.0,33.0,,2.0,,,,11.0,2,0,0,0,18:00:00-18:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,281817.35178,5037940.9754,A,1,N,O,45.48102,-73.79398
SPVM _ 2018 _ 5404,SA,2018/07/28,66023.0,,,,76E AV,1.0,AIRLIE,,32.0,,11.0,3.0,2.0,,13.0,1.0,11.0,32.0,6.0,3.0,,,,11.0,1,0,0,1,21:00:00-21:59:00,2018,1,Léger,Montréal(06),Montréal (66 ),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,294554.66,5031205.064,A,1,N,N,45.42071,-73.63091
SPVM _ 2012 _ 21768,DI,2012/12/23,66023.0,,,,BEAUBIEN,1.0,PARE,,31.0,,16.0,3.0,2.0,,14.0,,11.0,33.0,,2.0,,,,12.0,2,0,0,0,Non précisé,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,296814.79899,5044131.582,A,1,N,N,45.53705,-73.60224
SPVM _ 2013 _ 13235,ME,2013/04/17,66023.0,,,,DE LORIMIER,1.0,PRES LOGAN,,31.0,,11.0,1.0,2.0,,13.0,,11.0,33.0,,1.0,,,N,11.0,2,0,0,0,17:00:00-17:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,300649.198,5042912.093,A,1,N,N,45.52611,-73.55314
SPVM _ 2012 _ 30265,MA,2012/12/04,66023.0,6187.0,,,HOCHELAGA,1.0,DUQUESNE,450.0,43.0,,12.0,3.0,3.0,,13.0,,11.0,32.0,,3.0,,,E,14.0,1,0,0,0,22:00:00-22:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,302051.264,5048250.351,A,2,N,N,45.57416,-73.53522
SPVM _ 2019 _ 15555,SA,2019/02/09,66023.0,4315.0,,,METROPOLITAIN E,2.0,FACE A L ADRESSE,,40.0,,17.0,1.0,3.0,,11.0,,11.0,33.0,,1.0,,,,11.0,1,0,0,0,11:00:00-11:59:00,2019,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,297120.70277,5048042.7735,A,1,N,N,45.57225,-73.59839
SPVM _ 2019 _ 11005,JE,2019/08/29,66023.0,,,,PRIEUR,1.0,BERRI,,32.0,,11.0,2.0,2.0,,14.0,1.0,11.0,32.0,6.0,2.0,,,,11.0,1,0,0,1,19:00:00-19:59:00,2019,1,Léger,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40.0,291883.40501,5045973.127,A,1,N,N,45.55355,-73.66544
SPVM _ 2012 _ 2470,LU,2012/01/16,66023.0,1375.0,,,GRENET,,,,31.0,,16.0,1.0,3.0,,21.0,,11.0,34.0,,2.0,,,,11.0,2,0,0,0,09:00:00-09:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,289930.4845,5041523.5,A,1,O,N,45.51347,-73.69031
SPVM _ 2012 _ 24029,SA,2012/02/04,66023.0,,,,GOUIN,1.0,STE GERTRUDE,,31.0,,11.0,3.0,2.0,,14.0,,11.0,,,2.0,,,,12.0,1,0,0,0,21:00:00-21:59:00,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,294004.44,5052063.549,A,1,N,N,45.60839,-73.6384
SPVM _ 2013 _ 6558,JE,2013/08/22,66023.0,1051.0,,,DECARIE BD,,,,31.0,,11.0,1.0,4.0,,,,11.0,99.0,,,,,,11.0,2,0,0,0,08:00:00-08:59:00,2013,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,296737.86744,5036876.1966,A,1,O,N,45.47177,-73.60311
SPVM _ 2017 _ 20923,VE,2017/09/22,66023.0,,,,SHERBROOKE E,1.0,MONSABRE,,31.0,,11.0,3.0,3.0,,12.0,,11.0,32.0,,4.0,,,,11.0,2,0,0,0,19:00:00-19:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,301006.008,5048249.584,A,1,N,N,45.57414,-73.54861
SPVM _ 2014 _ 5863,DI,2014/07/13,66023.0,,,,VINET,,DUVERNAY,,31.0,,12.0,1.0,2.0,,14.0,1.0,11.0,32.0,10.0,1.0,,,,14.0,2,0,0,1,13:00:00-13:59:00,2014,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299035.9,5038098.824,A,1,N,N,45.48279,-73.57373
SPVM _ 2013 _ 7844,LU,2013/04/01,66023.0,8080.0,,,CHAMPLAIN,,,,31.0,,11.0,1.0,3.0,,13.0,,11.0,34.0,,3.0,,,,11.0,2,0,0,0,17:00:00-17:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,296038.688,5031854.088,A,1,N,N,45.42657,-73.61196
SPVM _ 2013 _ 8070,ME,2013/06/12,66023.0,,,,CLEMENT,1.0,LAFLEUR,,31.0,,11.0,1.0,3.0,,13.0,,11.0,32.0,,3.0,,,,12.0,2,0,0,0,11:00:00-11:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,293363.344,5032581.0,A,1,N,N,45.43307,-73.64617
SPVM _ 2014 _ 21327,JE,2014/09/18,66117.0,21111.0,,,LAKESHORE,,STE ANNE DE BELLEVUE,,31.0,,11.0,1.0,1.0,,21.0,,11.0,99.0,,9.0,,,,11.0,2,0,0,0,Non précisé,2014,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,270220.33924,5029355.7253,A,1,O,N,45.40329,-73.94172
SPVM _ 2019 _ 13824,JE,2019/05/23,66023.0,5742.0,,,DU PARC EN FACE,,,,31.0,,12.0,1.0,3.0,,13.0,,11.0,40.0,,3.0,,,O,14.0,3,0,0,0,16:00:00-16:59:00,2019,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,296588.7991,5042629.1296,A,1,O,N,45.52353,-73.60511
SPVM _ 2013 _ 16620,JE,2013/09/19,66023.0,4160.0,,,ISABELLA,,,,31.0,,11.0,1.0,2.0,,14.0,,11.0,34.0,,2.0,,,S,11.0,2,0,0,0,09:00:00-09:59:00,2013,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,295063.66301,5039371.044,A,1,N,N,45.49419,-73.62457
SPVM _ 2015 _ 9821,SA,2015/10/31,66023.0,,,,PRES CHAMBLY,2.0,ADAM,,31.0,,11.0,1.0,2.0,,14.0,,11.0,34.0,,1.0,,,,11.0,2,0,0,0,Non précisé,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,301632.9,5044952.68,A,2,N,N,45.54448,-73.54056
SPVM _ 2017 _ 9646,DI,2017/01/01,66023.0,,,,STE CATHERINE,1.0,PIE IX,1.0,31.0,,16.0,3.0,2.0,,13.0,,11.0,32.0,,3.0,,,S,17.0,3,0,0,0,02:00:00-02:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,302027.165,5045388.237,A,1,N,N,45.5484,-73.53551
SPVM _ 2016 _ 19166,SA,2016/07/16,66023.0,,,,MAURICE DUPLESSIS,1.0,J J JOUBERT,,31.0,,11.0,1.0,3.0,,13.0,1.0,11.0,32.0,6.0,4.0,,,,11.0,2,0,0,2,14:00:00-14:59:00,2016,2,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,299346.1,5056261.789,A,1,N,N,45.64623,-73.56997
SPVM _ 2012 _ 25250,JE,2012/01/05,66023.0,,,,LACORDAIRE,1.0,COUTURE,3.0,31.0,,12.0,1.0,3.0,,13.0,,11.0,32.0,,4.0,,,E,11.0,2,0,0,0,10:00:00-10:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,296317.069,5050743.778,A,1,N,N,45.59655,-73.60873
SPVM _ 2019 _ 326,MA,2019/09/17,66023.0,,,,PONT JACQUES BIZARD,,,,31.0,,11.0,3.0,2.0,,13.0,1.0,11.0,36.0,6.0,3.0,,,,11.0,5,0,0,2,21:00:00-21:59:00,2019,2,Léger,Montréal(06),Montréal (66 ),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,275209.36561,5038618.7032,B,4,N,N,45.48687,-73.87855
SPVM _ 2012 _ 1733,SA,2012/06/23,66097.0,325.0,,,BD ST JEAN,2.0,STAT,,31.0,,11.0,1.0,3.0,,21.0,,,40.0,,,,,,11.0,2,0,0,0,Non précisé,2012,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,280079.8405,5033931.2945,A,1,O,N,45.44488,-73.81601
SPVM _ 2017 _ 19787,MA,2017/01/31,66023.0,7880.0,,,METROPOLITAIN,,,,31.0,,11.0,3.0,3.0,,13.0,,11.0,34.0,,1.0,,,,11.0,2,0,0,0,23:00:00-23:59:00,2017,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,299912.06026,5052090.5122,A,1,N,N,45.6087,-73.56267
SPVM _ 2015 _ 655,LU,2015/08/17,66142.0,1800.0,,,SUNNYBROOKE,,,25.0,31.0,,11.0,3.0,2.0,,14.0,1.0,11.0,33.0,6.0,2.0,,,,12.0,2,0,0,1,23:00:00-23:59:00,2015,1,Léger,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,282329.6,5040229.262,A,1,N,N,45.50162,-73.78754
SPVM _ 2012 _ 25532,LU,2012/03/19,66023.0,6455.0,,,JEAN TALON,1.0,LANGELIER,20.0,31.0,,11.0,1.0,3.0,,21.0,,11.0,40.0,,9.0,,,E,11.0,2,0,0,0,Non précisé,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,298892.39106,5050162.7506,A,1,O,N,45.59135,-73.57572
SPVM _ 2014 _ 365,JE,2014/11/20,66023.0,,,,GOUIN O,1.0,SUNNYBROOKE,,31.0,,18.0,1.0,3.0,,13.0,1.0,11.0,32.0,,3.0,,,,12.0,3,0,0,0,08:00:00-08:59:00,2014,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,282434.5,5040598.442,A,1,N,N,45.50495,-73.78621
SPVM _ 2015 _ 7175,SA,2015/06/13,66023.0,,,,UNIVERSITY,1.0,BELMONT,,31.0,,11.0,3.0,3.0,,13.0,,13.0,32.0,,1.0,,,,11.0,2,0,0,0,22:00:00-22:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299629.6,5040141.206,A,1,N,N,45.50117,-73.56616
SPVM _ 2014 _ 8904,MA,2014/08/05,66023.0,2134.0,,,AMHERST,,,,33.0,,11.0,3.0,2.0,,14.0,1.0,13.0,34.0,6.0,3.0,,,,11.0,2,0,0,1,23:00:00-23:59:00,2014,1,Léger,Montréal(06),Montréal (66 ),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,299743.41426,5042342.8236,A,1,N,N,45.52099,-73.56473
SPVM _ 2013 _ 26037,MA,2013/07/02,66023.0,5906.0,,,JEAN TALON,,,,31.0,,,1.0,3.0,,13.0,,11.0,34.0,,2.0,,,,,2,0,0,0,13:00:00-13:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,298611.6255,5049624.25,A,1,N,N,45.5865,-73.57931
SPVM _ 2013 _ 8672,VE,2013/12/27,66023.0,7077.0,,,NEWMAN,1.0,CORDNER,150.0,31.0,,16.0,1.0,3.0,,21.0,,11.0,40.0,,,,,,11.0,2,0,0,0,16:00:00-16:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,296109.40135,5034096.6427,A,1,O,N,45.44675,-73.6111
SPVM _ 2019 _ 3671,ME,2019/03/06,66023.0,,,,COTE ST LUC,1.0,CORONATION,5.0,40.0,,12.0,3.0,3.0,,13.0,,11.0,32.0,,5.0,,,E,12.0,1,0,0,0,02:00:00-02:59:00,2019,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,292800.95999,5036242.687,A,1,N,N,45.46601,-73.65345
SPVM _ 2016 _ 11703,DI,2016/02/14,66023.0,8750.0,,,BERRI,1.0,CREMAZIE,150.0,49.0,,18.0,1.0,3.0,,13.0,1.0,21.0,33.0,6.0,1.0,,,N,11.0,1,0,0,1,08:00:00-08:59:00,2016,1,Léger,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,293936.9,5045061.11,A,1,N,O,45.54538,-73.63911
